,Unnamed: 0,Anime,Episode,Score
0,0,Fullmetal Alchemist: Brotherhood,"
        TV (64 eps)<br/>
        Apr 2009 - Jul 2010<br/>
        2,895,245 members
",.14
1,1,Gintama°,"
        TV (51 eps)<br/>
        Apr 2015 - Mar 2016<br/>
        537,423 members
",.08
2,2,Steins;Gate,"
        TV (24 eps)<br/>
        Apr 2011 - Sep 2011<br/>
        2,246,631 members
",.08
3,3,Shingeki no Kyojin Season 3 Part 2,"
        TV (10 eps)<br/>
        Apr 2019 - Jul 2019<br/>
        1,849,709 members
",.07
4,4,Gintama',"
        TV (51 eps)<br/>
        Apr 2011 - Mar 2012<br/>
        473,756 members
",.05
5,5,Gintama: The Final,"
        Movie (1 eps)<br/>
        Jan 2021 - Jan 2021<br/>
        103,997 members
",.05
6,6,Hunter x Hunter (2011),"
        TV (148 eps)<br/>
        Oct 2011 - Sep 2014<br/>
        2,384,407 members
",.05
7,7,Gintama': Enchousen,"
        TV (13 eps)<br/>
        Oct 2012 - Mar 2013<br/>
        282,513 members
",.04
8,8,Fruits Basket: The Final,"
        TV (13 eps)<br/>
        Apr 2021 - Jun 2021<br/>
        351,472 members
",.03
9,9,Ginga Eiyuu Densetsu,"
        OVA (110 eps)<br/>
        Jan 1988 - Mar 1997<br/>
        280,850 members
",.03
10,10,Spy x Family,"
        TV (12 eps)<br/>
        Apr 2022 - Jun 2022<br/>
        776,283 members
",.02
11,11,Gintama.,"
        TV (12 eps)<br/>
        Jan 2017 - Mar 2017<br/>
        269,348 members
","8"">8."
12,12,Kaguya-sama wa Kokurasetai: Ultra Romantic,"
        TV (12 eps)<br/>
        Apr 2022 - Jun 2022<br/>
        491,763 members
","8"">8.96"
13,13,3-gatsu no Lion 2nd Season,"
        TV (22 eps)<br/>
        Oct 2017 - Mar 2018<br/>
        353,099 members
","8"">8.95"
14,14,Gintama,"
        TV (201 eps)<br/>
        Apr 2006 - Mar 2010<br/>
        946,472 members
","8"">8.95"
15,15,Koe no Katachi,"
        Movie (1 eps)<br/>
        Sep 2016 - Sep 2016<br/>
        1,974,230 members
","8"">8.95"
16,16,Violet Evergarden Movie,"
        Movie (1 eps)<br/>
        Sep 2020 - Sep 2020<br/>
        442,608 members
","8"">8.95"
17,17,Clannad: After Story,"
        TV (24 eps)<br/>
        Oct 2008 - Mar 2009<br/>
        1,082,388 members
","8"">8.94"
18,18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"
        Movie (1 eps)<br/>
        Jul 2013 - Jul 2013<br/>
        210,759 members
","8"">8.93"
19,19,Code Geass: Hangyaku no Lelouch R2,"
        TV (25 eps)<br/>
        Apr 2008 - Sep 2008<br/>
        1,572,371 members
","8"">8.91"
20,20,Owarimonogatari 2nd Season,"
        TV (7 eps)<br/>
        Aug 2017 - Aug 2017<br/>
        349,691 members
","8"">8.90"
21,21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"
        TV (14 eps)<br/>
        Jul 2018 - Oct 2018<br/>
        164,580 members
","8"">8.88"
22,22,Kimetsu no Yaiba: Yuukaku-hen,"
        TV (11 eps)<br/>
        Dec 2021 - Feb 2022<br/>
        893,920 members
","8"">8.87"
23,23,Kimi no Na wa.,"
        Movie (1 eps)<br/>
        Aug 2016 - Aug 2016<br/>
        2,364,899 members
","8"">8.87"
24,24,Shingeki no Kyojin: The Final Season,"
        TV (16 eps)<br/>
        Dec 2020 - Mar 2021<br/>
        1,598,411 members
","8"">8.84"
